Curve,I,P
A,2.57,0.056
A,2.57,0.096
A,14.95,0.494
A,24.09,0.866
A,34.05,1.068
A,46.51,1.274
A,83.06,1.464
A,99.67,1.462
A,116.28,1.592
A,129.57,1.597
A,182.72,1.692
A,224.25,1.596
A,265.78,1.546
A,299.00,1.629
A,348.84,1.553
A,481.73,1.497
A,647.84,1.414
A,913.62,1.291
A,930.23,0.983
A,1511.63,0.917
A,1611.30,0.804
B,2.57,-0.016
B,2.57,0.099
B,10.80,0.289
B,19.44,0.658
B,25.75,0.903
B,44.02,1.085
B,71.43,1.298
B,74.75,1.450
B,101.33,1.429
B,136.21,1.338
B,187.71,1.537
B,224.25,1.602
B,249.17,1.514
B,338.04,1.438
B,415.28,1.362
B,564.78,1.358
B,764.12,1.159
B,963.46,1.116
B,1029.90,1.118
B,1262.46,0.992
B,1328.90,0.910
C,2.56,0.032
C,2.57,0.010
C,10.63,0.354
C,20.76,0.605
C,27.41,0.874
C,44.85,1.240
C,74.75,1.329
C,76.74,1.379
C,107.97,1.628
C,136.21,1.507
C,174.42,1.353
C,232.56,1.417
C,265.78,1.711
C,365.45,1.524
C,531.56,1.438
C,598.01,1.478
C,747.51,1.324
C,830.56,1.349
C,996.68,1.132
C,1079.73,1.072
C,1478.41,0.796
D,2.52,0.044
D,2.52,0.019
D,9.97,0.409
D,18.27,0.662
D,27.41,0.963
D,41.53,1.215
D,69.77,1.377
D,85.55,1.339
D,91.36,1.431
D,139.53,1.582
D,182.72,1.549
D,224.25,1.441
D,290.70,1.525
D,357.14,1.279
D,440.20,1.378
D,581.40,1.256
D,764.12,1.282
D,863.79,1.279
D,1029.90,1.096
D,1295.68,0.878
D,1312.29,0.868
E,2.56,0.027
E,2.57,0.018
E,10.05,0.440
E,18.27,0.678
E,23.26,0.997
E,43.19,1.193
E,66.45,1.521
E,81.40,1.112
E,91.36,1.274
E,132.89,1.453
E,157.81,1.202
E,215.95,1.184
E,265.78,1.316
E,299.00,1.204
E,406.98,1.110
E,598.01,1.429
E,747.51,1.114
E,946.84,0.872
E,980.07,0.595
E,1312.29,0.476
E,1619.60,0.403
F,2.56,0.251
F,9.63,0.605
F,19.93,0.727
F,29.07,0.825
F,40.70,1.008
F,66.45,0.727
F,83.06,1.326
F,93.02,0.935
F,129.57,1.302
F,215.95,1.192
F,282.39,0.825
F,340.53,1.070
F,423.59,1.082
F,631.23,0.740
F,739.20,0.886
F,797.34,0.544
F,996.68,0.275
F,1162.79,0.189
F,1328.90,0.263
